@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
86.0, 22.0, 32.0, 72.0, 138.0
141.0, 21.0, 72.0, 138.0, 111.0
22.0, 138.0, 48.0, 23.0, 19.0
111.0, 27.0, 129.0, 129.0, 58.0
19.0, 129.0, 27.0, 19.0, 24.0
112.0, 20.0, 37.0, 92.0, 152.0
30.0, 92.0, 93.0, 36.0, 20.0
93.0, 29.0, 146.0, 117.0, 46.0
117.0, 22.0, 128.0, 142.0, 62.0
22.0, 62.0, 17.0, 19.0, 37.0
100.0, 17.0, 27.0, 72.0, 154.0
86.0, 27.0, 154.0, 118.0, 43.0
32.0, 72.0, 118.0, 43.0, 20.0
33.0, 33.0, 14.0, 22.0, 58.0
92.0, 16.0, 22.0, 58.0, 149.0
14.0, 137.0, 20.0, 15.0, 16.0
15.0, 169.0, 28.0, 15.0, 14.0
169.0, 14.0, 65.0, 160.0, 133.0
28.0, 65.0, 133.0, 45.0, 18.0
15.0, 160.0, 45.0, 18.0, 14.0
14.0, 133.0, 18.0, 14.0, 16.0
20.0, 45.0, 12.0, 14.0, 30.0
163.0, 12.0, 30.0, 98.0, 185.0
14.0, 145.0, 58.0, 19.0, 11.0
13.0, 100.0, 12.0, 10.0, 13.0
100.0, 13.0, 114.0, 206.0, 82.0
27.0, 30.0, 206.0, 82.0, 21.0
10.0, 206.0, 21.0, 11.0, 9.0
82.0, 10.0, 120.0, 215.0, 77.0
11.0, 120.0, 77.0, 20.0, 10.0
10.0, 77.0, 10.0, 8.0, 9.0
215.0, 5.0, 3.0, 4.0, 19.0
3.0, 125.0, 30.0, 28.0, 41.0
19.0, 30.0, 41.0, 71.0, 98.0
125.0, 41.0, 98.0, 79.0, 49.0
30.0, 98.0, 49.0, 34.0, 33.0
49.0, 75.0, 76.0, 48.0, 34.0
96.0, 34.0, 81.0, 99.0, 76.0
34.0, 76.0, 32.0, 33.0, 49.0
85.0, 30.0, 49.0, 85.0, 106.0
43.0, 85.0, 74.0, 43.0, 31.0
106.0, 31.0, 87.0, 109.0, 76.0
87.0, 29.0, 47.0, 87.0, 110.0
88.0, 28.0, 45.0, 86.0, 117.0
28.0, 117.0, 42.0, 26.0, 26.0
28.0, 82.0, 26.0, 26.0, 43.0
119.0, 25.0, 80.0, 121.0, 90.0
96.0, 35.0, 123.0, 102.0, 50.0
102.0, 31.0, 121.0, 110.0, 53.0
121.0, 21.0, 57.0, 117.0, 120.0
27.0, 117.0, 59.0, 28.0, 20.0
28.0, 59.0, 20.0, 25.0, 49.0
117.0, 20.0, 49.0, 109.0, 128.0
120.0, 25.0, 109.0, 128.0, 68.0
59.0, 49.0, 128.0, 68.0, 31.0
49.0, 31.0, 23.0, 43.0, 98.0
23.0, 77.0, 22.0, 22.0, 36.0
43.0, 34.0, 22.0, 36.0, 86.0
73.0, 23.0, 26.0, 59.0, 129.0
107.0, 26.0, 129.0, 125.0, 55.0
26.0, 55.0, 18.0, 22.0, 47.0
59.0, 24.0, 22.0, 47.0, 114.0
22.0, 68.0, 18.0, 19.0, 36.0
47.0, 28.0, 19.0, 36.0, 93.0
36.0, 34.0, 18.0, 28.0, 72.0
93.0, 19.0, 28.0, 72.0, 147.0
147.0, 16.0, 53.0, 131.0, 137.0
112.0, 23.0, 131.0, 137.0, 58.0
23.0, 58.0, 16.0, 19.0, 38.0
137.0, 19.0, 104.0, 156.0, 80.0
24.0, 104.0, 80.0, 30.0, 17.0
112.0, 21.0, 132.0, 145.0, 59.0
40.0, 51.0, 145.0, 59.0, 22.0
132.0, 15.0, 32.0, 96.0, 164.0
15.0, 164.0, 30.0, 16.0, 14.0
14.0, 130.0, 19.0, 13.0, 17.0
19.0, 113.0, 75.0, 25.0, 14.0
17.0, 75.0, 14.0, 13.0, 24.0
123.0, 16.0, 118.0, 170.0, 71.0
17.0, 118.0, 71.0, 24.0, 13.0
33.0, 24.0, 11.0, 17.0, 51.0
77.0, 13.0, 12.0, 30.0, 107.0
12.0, 82.0, 10.0, 9.0, 12.0
23.0, 36.0, 192.0, 64.0, 18.0
12.0, 64.0, 10.0, 8.0, 13.0
64.0, 13.0, 148.0, 195.0, 58.0
18.0, 37.0, 195.0, 58.0, 16.0
13.0, 58.0, 9.0, 8.0, 10.0
37.0, 16.0, 8.0, 10.0, 29.0
67.0, 7.0, 66.0, 237.0, 137.0
237.0, 6.0, 4.0, 5.0, 25.0
4.0, 233.0, 12.0, 7.0, 7.0
51.0, 7.0, 80.0, 201.0, 109.0
29.0, 38.0, 169.0, 63.0, 20.0
11.0, 173.0, 34.0, 14.0, 11.0
14.0, 67.0, 11.0, 11.0, 20.0
122.0, 11.0, 20.0, 64.0, 169.0
21.0, 64.0, 131.0, 39.0, 13.0
131.0, 12.0, 100.0, 188.0, 88.0
39.0, 28.0, 188.0, 88.0, 25.0
13.0, 100.0, 88.0, 25.0, 11.0
88.0, 14.0, 141.0, 176.0, 57.0
