@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
21.0, 111.0, 23.0, 19.0, 27.0
72.0, 23.0, 27.0, 59.0, 129.0
129.0, 19.0, 46.0, 112.0, 144.0
129.0, 24.0, 112.0, 144.0, 73.0
58.0, 46.0, 144.0, 73.0, 30.0
19.0, 144.0, 30.0, 20.0, 19.0
24.0, 73.0, 20.0, 19.0, 37.0
73.0, 37.0, 152.0, 93.0, 36.0
20.0, 152.0, 36.0, 20.0, 18.0
37.0, 36.0, 18.0, 29.0, 71.0
71.0, 23.0, 22.0, 52.0, 128.0
146.0, 18.0, 52.0, 128.0, 142.0
46.0, 52.0, 142.0, 62.0, 26.0
18.0, 142.0, 26.0, 17.0, 19.0
37.0, 32.0, 17.0, 27.0, 72.0
72.0, 20.0, 21.0, 47.0, 128.0
20.0, 128.0, 63.0, 24.0, 16.0
16.0, 166.0, 33.0, 16.0, 14.0
95.0, 22.0, 149.0, 137.0, 50.0
149.0, 15.0, 35.0, 106.0, 169.0
20.0, 106.0, 82.0, 28.0, 15.0
23.0, 45.0, 14.0, 16.0, 36.0
65.0, 18.0, 16.0, 36.0, 111.0
111.0, 14.0, 20.0, 60.0, 163.0
176.0, 13.0, 60.0, 163.0, 140.0
13.0, 140.0, 18.0, 12.0, 14.0
45.0, 30.0, 185.0, 93.0, 28.0
12.0, 185.0, 28.0, 14.0, 12.0
14.0, 93.0, 14.0, 12.0, 17.0
28.0, 46.0, 167.0, 58.0, 19.0
145.0, 11.0, 21.0, 68.0, 183.0
167.0, 12.0, 68.0, 183.0, 132.0
58.0, 21.0, 183.0, 132.0, 38.0
15.0, 93.0, 100.0, 27.0, 12.0
12.0, 114.0, 82.0, 21.0, 11.0
114.0, 11.0, 10.0, 30.0, 120.0
215.0, 8.0, 21.0, 95.0, 234.0
77.0, 9.0, 95.0, 234.0, 99.0
8.0, 234.0, 22.0, 9.0, 8.0
9.0, 35.0, 215.0, 46.0, 11.0
9.0, 46.0, 7.0, 5.0, 4.0
35.0, 11.0, 5.0, 4.0, 3.0
11.0, 3.0, 19.0, 105.0, 125.0
4.0, 105.0, 55.0, 30.0, 28.0
34.0, 96.0, 47.0, 34.0, 34.0
