@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
95.0, 32.0, 138.0, 111.0, 48.0
46.0, 30.0, 19.0, 37.0, 92.0
144.0, 19.0, 92.0, 152.0, 93.0
19.0, 93.0, 20.0, 18.0, 29.0
92.0, 20.0, 29.0, 71.0, 146.0
36.0, 71.0, 117.0, 46.0, 23.0
18.0, 117.0, 23.0, 18.0, 22.0
142.0, 19.0, 100.0, 158.0, 86.0
26.0, 100.0, 86.0, 32.0, 17.0
17.0, 158.0, 32.0, 17.0, 17.0
17.0, 154.0, 43.0, 20.0, 15.0
118.0, 21.0, 128.0, 150.0, 63.0
47.0, 24.0, 17.0, 33.0, 92.0
137.0, 16.0, 106.0, 169.0, 82.0
50.0, 35.0, 169.0, 82.0, 28.0
16.0, 82.0, 15.0, 14.0, 23.0
106.0, 15.0, 23.0, 65.0, 160.0
82.0, 23.0, 160.0, 133.0, 45.0
26.0, 60.0, 140.0, 45.0, 18.0
60.0, 18.0, 14.0, 30.0, 98.0
30.0, 28.0, 12.0, 17.0, 46.0
93.0, 17.0, 145.0, 167.0, 58.0
17.0, 58.0, 11.0, 12.0, 21.0
46.0, 19.0, 12.0, 21.0, 68.0
11.0, 183.0, 38.0, 15.0, 11.0
68.0, 15.0, 13.0, 26.0, 93.0
183.0, 11.0, 26.0, 93.0, 202.0
132.0, 13.0, 93.0, 202.0, 100.0
20.0, 21.0, 234.0, 99.0, 22.0
7.0, 215.0, 11.0, 7.0, 5.0
7.0, 4.0, 105.0, 125.0, 55.0
55.0, 71.0, 79.0, 49.0, 34.0
28.0, 79.0, 34.0, 33.0, 47.0
71.0, 34.0, 47.0, 75.0, 95.0
79.0, 47.0, 95.0, 76.0, 48.0
34.0, 95.0, 48.0, 34.0, 35.0
49.0, 47.0, 34.0, 49.0, 81.0
101.0, 33.0, 85.0, 103.0, 73.0
103.0, 31.0, 85.0, 106.0, 74.0
31.0, 76.0, 29.0, 30.0, 47.0
49.0, 41.0, 30.0, 47.0, 87.0
41.0, 87.0, 76.0, 41.0, 28.0
29.0, 110.0, 41.0, 28.0, 30.0
110.0, 30.0, 88.0, 114.0, 79.0
45.0, 42.0, 26.0, 43.0, 84.0
42.0, 84.0, 85.0, 42.0, 26.0
43.0, 42.0, 25.0, 39.0, 80.0
42.0, 80.0, 90.0, 43.0, 26.0
121.0, 24.0, 76.0, 123.0, 96.0
26.0, 123.0, 46.0, 26.0, 23.0
24.0, 96.0, 26.0, 23.0, 35.0
23.0, 102.0, 27.0, 22.0, 31.0
35.0, 50.0, 22.0, 31.0, 64.0
27.0, 121.0, 53.0, 27.0, 21.0
20.0, 128.0, 31.0, 20.0, 23.0
109.0, 20.0, 43.0, 98.0, 135.0
128.0, 23.0, 98.0, 135.0, 77.0
135.0, 22.0, 86.0, 139.0, 91.0
77.0, 36.0, 139.0, 91.0, 38.0
139.0, 19.0, 73.0, 137.0, 107.0
44.0, 59.0, 125.0, 55.0, 24.0
19.0, 125.0, 24.0, 18.0, 22.0
129.0, 18.0, 47.0, 114.0, 140.0
55.0, 47.0, 140.0, 68.0, 28.0
114.0, 18.0, 36.0, 93.0, 150.0
19.0, 88.0, 19.0, 18.0, 28.0
150.0, 18.0, 72.0, 147.0, 112.0
28.0, 43.0, 16.0, 23.0, 53.0
72.0, 20.0, 23.0, 53.0, 131.0
16.0, 137.0, 24.0, 16.0, 19.0
16.0, 156.0, 30.0, 17.0, 16.0
104.0, 17.0, 28.0, 75.0, 156.0
80.0, 28.0, 156.0, 112.0, 40.0
18.0, 132.0, 59.0, 22.0, 15.0
51.0, 22.0, 17.0, 32.0, 96.0
17.0, 89.0, 16.0, 14.0, 24.0
89.0, 24.0, 153.0, 130.0, 46.0
30.0, 62.0, 130.0, 46.0, 19.0
130.0, 17.0, 113.0, 165.0, 75.0
37.0, 25.0, 13.0, 24.0, 68.0
68.0, 17.0, 16.0, 38.0, 118.0
38.0, 24.0, 12.0, 22.0, 65.0
170.0, 12.0, 65.0, 167.0, 129.0
24.0, 65.0, 129.0, 40.0, 16.0
14.0, 81.0, 12.0, 11.0, 17.0
107.0, 12.0, 17.0, 51.0, 156.0
182.0, 11.0, 51.0, 156.0, 155.0
12.0, 156.0, 49.0, 17.0, 11.0
11.0, 155.0, 17.0, 11.0, 11.0
49.0, 23.0, 189.0, 115.0, 32.0
17.0, 77.0, 115.0, 32.0, 13.0
11.0, 115.0, 13.0, 9.0, 12.0
32.0, 30.0, 197.0, 82.0, 23.0
197.0, 9.0, 36.0, 134.0, 192.0
82.0, 12.0, 134.0, 192.0, 64.0
9.0, 192.0, 18.0, 10.0, 8.0
192.0, 8.0, 37.0, 148.0, 195.0
10.0, 148.0, 58.0, 16.0, 9.0
132.0, 8.0, 7.0, 14.0, 66.0
15.0, 14.0, 237.0, 137.0, 25.0
5.0, 165.0, 51.0, 12.0, 7.0
7.0, 80.0, 109.0, 29.0, 12.0
7.0, 201.0, 29.0, 12.0, 10.0
38.0, 20.0, 11.0, 23.0, 74.0
128.0, 11.0, 23.0, 74.0, 173.0
169.0, 11.0, 74.0, 173.0, 114.0
63.0, 23.0, 173.0, 114.0, 34.0
34.0, 37.0, 172.0, 67.0, 21.0
67.0, 20.0, 169.0, 131.0, 39.0
11.0, 141.0, 57.0, 17.0, 10.0
141.0, 10.0, 16.0, 56.0, 175.0
10.0, 175.0, 41.0, 14.0, 8.0
10.0, 149.0, 14.0, 8.0, 9.0
175.0, 8.0, 18.0, 67.0, 196.0
8.0, 207.0, 30.0, 10.0, 7.0
17.0, 30.0, 7.0, 6.0, 12.0
207.0, 7.0, 12.0, 48.0, 193.0
131.0, 6.0, 48.0, 193.0, 172.0
10.0, 48.0, 172.0, 39.0, 11.0
193.0, 7.0, 6.0, 16.0, 86.0
11.0, 16.0, 255.0, 107.0, 19.0
7.0, 86.0, 107.0, 19.0, 8.0
6.0, 255.0, 19.0, 8.0, 5.0
255.0, 5.0, 3.0, 2.0, 2.0
4.0, 7.0, 8.0, 6.0, 8.0
6.0, 57.0, 56.0, 46.0, 46.0
16.0, 56.0, 46.0, 54.0, 64.0
56.0, 64.0, 59.0, 49.0, 46.0
46.0, 66.0, 49.0, 46.0, 48.0
46.0, 59.0, 46.0, 48.0, 58.0
66.0, 48.0, 67.0, 67.0, 60.0
48.0, 60.0, 47.0, 51.0, 60.0
58.0, 50.0, 51.0, 60.0, 69.0
67.0, 51.0, 69.0, 68.0, 58.0
