@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
41.0, 72.0, 111.0, 48.0, 23.0
138.0, 19.0, 59.0, 129.0, 129.0
152.0, 18.0, 71.0, 146.0, 117.0
20.0, 146.0, 46.0, 23.0, 18.0
29.0, 46.0, 18.0, 22.0, 52.0
23.0, 128.0, 62.0, 26.0, 17.0
52.0, 26.0, 19.0, 37.0, 100.0
62.0, 37.0, 158.0, 86.0, 32.0
27.0, 43.0, 15.0, 21.0, 47.0
154.0, 15.0, 47.0, 128.0, 150.0
128.0, 16.0, 33.0, 92.0, 166.0
150.0, 17.0, 92.0, 166.0, 95.0
24.0, 92.0, 95.0, 33.0, 16.0
166.0, 14.0, 58.0, 149.0, 137.0
33.0, 58.0, 137.0, 50.0, 20.0
16.0, 149.0, 50.0, 20.0, 15.0
22.0, 50.0, 15.0, 16.0, 35.0
35.0, 28.0, 14.0, 23.0, 65.0
133.0, 16.0, 111.0, 176.0, 80.0
45.0, 36.0, 176.0, 80.0, 26.0
14.0, 176.0, 26.0, 14.0, 13.0
16.0, 80.0, 14.0, 13.0, 20.0
36.0, 26.0, 13.0, 20.0, 60.0
140.0, 14.0, 98.0, 185.0, 93.0
18.0, 98.0, 93.0, 28.0, 14.0
12.0, 167.0, 19.0, 11.0, 12.0
21.0, 38.0, 11.0, 13.0, 26.0
38.0, 26.0, 202.0, 100.0, 27.0
11.0, 202.0, 27.0, 12.0, 10.0
202.0, 10.0, 30.0, 114.0, 206.0
13.0, 82.0, 11.0, 9.0, 10.0
30.0, 21.0, 9.0, 10.0, 30.0
206.0, 9.0, 30.0, 120.0, 215.0
21.0, 30.0, 215.0, 77.0, 20.0
10.0, 95.0, 99.0, 22.0, 9.0
95.0, 9.0, 7.0, 9.0, 35.0
99.0, 7.0, 35.0, 176.0, 215.0
22.0, 9.0, 176.0, 215.0, 46.0
8.0, 176.0, 46.0, 11.0, 7.0
105.0, 28.0, 71.0, 98.0, 79.0
47.0, 48.0, 35.0, 49.0, 78.0
76.0, 49.0, 96.0, 75.0, 47.0
48.0, 78.0, 75.0, 47.0, 34.0
78.0, 34.0, 49.0, 81.0, 99.0
47.0, 81.0, 76.0, 46.0, 32.0
34.0, 99.0, 46.0, 32.0, 33.0
81.0, 32.0, 49.0, 83.0, 101.0
76.0, 49.0, 101.0, 74.0, 44.0
83.0, 32.0, 50.0, 85.0, 103.0
33.0, 73.0, 30.0, 31.0, 49.0
50.0, 43.0, 31.0, 49.0, 85.0
31.0, 74.0, 31.0, 31.0, 49.0
49.0, 43.0, 31.0, 49.0, 87.0
74.0, 49.0, 109.0, 76.0, 41.0
43.0, 87.0, 76.0, 41.0, 29.0
31.0, 109.0, 41.0, 29.0, 30.0
41.0, 88.0, 79.0, 41.0, 28.0
28.0, 114.0, 41.0, 28.0, 28.0
47.0, 41.0, 28.0, 45.0, 86.0
114.0, 28.0, 86.0, 117.0, 82.0
117.0, 26.0, 84.0, 119.0, 85.0
84.0, 26.0, 39.0, 80.0, 121.0
26.0, 121.0, 43.0, 26.0, 24.0
39.0, 43.0, 24.0, 36.0, 76.0
90.0, 36.0, 123.0, 96.0, 46.0
26.0, 123.0, 50.0, 27.0, 22.0
72.0, 27.0, 31.0, 64.0, 121.0
123.0, 22.0, 64.0, 121.0, 110.0
57.0, 28.0, 25.0, 49.0, 109.0
28.0, 109.0, 68.0, 31.0, 20.0
31.0, 98.0, 77.0, 34.0, 22.0
22.0, 91.0, 21.0, 19.0, 30.0
91.0, 30.0, 137.0, 107.0, 44.0
23.0, 129.0, 55.0, 24.0, 18.0
18.0, 150.0, 34.0, 19.0, 18.0
88.0, 28.0, 147.0, 112.0, 43.0
34.0, 72.0, 112.0, 43.0, 20.0
19.0, 80.0, 17.0, 16.0, 28.0
30.0, 75.0, 112.0, 40.0, 18.0
75.0, 18.0, 21.0, 51.0, 132.0
156.0, 15.0, 51.0, 132.0, 145.0
15.0, 145.0, 22.0, 15.0, 17.0
21.0, 59.0, 15.0, 17.0, 32.0
32.0, 30.0, 14.0, 24.0, 62.0
25.0, 68.0, 123.0, 40.0, 17.0
14.0, 164.0, 40.0, 17.0, 13.0
13.0, 123.0, 17.0, 13.0, 16.0
40.0, 38.0, 170.0, 71.0, 24.0
167.0, 12.0, 33.0, 107.0, 182.0
81.0, 17.0, 156.0, 155.0, 49.0
17.0, 49.0, 11.0, 11.0, 23.0
156.0, 11.0, 23.0, 77.0, 189.0
115.0, 12.0, 107.0, 197.0, 82.0
9.0, 197.0, 23.0, 10.0, 9.0
107.0, 10.0, 12.0, 36.0, 134.0
36.0, 18.0, 8.0, 13.0, 37.0
9.0, 132.0, 67.0, 15.0, 8.0
8.0, 220.0, 15.0, 8.0, 6.0
10.0, 67.0, 8.0, 6.0, 7.0
29.0, 15.0, 6.0, 7.0, 14.0
14.0, 25.0, 6.0, 5.0, 4.0
6.0, 25.0, 233.0, 51.0, 12.0
5.0, 51.0, 7.0, 7.0, 7.0
165.0, 7.0, 7.0, 18.0, 80.0
233.0, 7.0, 18.0, 80.0, 201.0
18.0, 29.0, 10.0, 14.0, 38.0
201.0, 10.0, 38.0, 128.0, 169.0
