Strength,Temperature,Pressure
37.5, 300, 16
36.1, 300, 20
25, 220, 16
34.5, 270, 18
31, 230, 12
39.9, 270, 10
20.6, 200, 14
39, 270, 12
40.7, 300, 12
26.2, 220, 12
39.2, 290, 12
40.7, 290, 12
40.1, 300, 16
30.3, 270, 18
31, 270, 20
27.9, 250, 18
36.8, 290, 16
26.1, 230, 16
24.1, 240, 20
34.2, 250, 10
25.7, 240, 16
38.7, 290, 14
23.3, 200, 12
37.8, 290, 18
26.8, 240, 16
41.2, 300, 12
26.2, 230, 16
25.9, 230, 16
34.7, 260, 16
40.4, 290, 10
16.1, 200, 20
24.6, 230, 16
32.1, 280, 20
21.5, 220, 16
17.5, 220, 20
36.1, 280, 16
32.7, 300, 20
36.1, 260, 12
26.2, 210, 10
22.5, 210, 18
34.2, 260, 12
30.5, 240, 14
34.2, 270, 14
24.2, 210, 12
29.5, 270, 18
32.7, 280, 18
31.9, 270, 18
24.2, 250, 20
20.6, 220, 18
41.3, 280, 10
34.7, 240, 12
28.3, 220, 10
21.8, 210, 18
20.2, 200, 16
34.2, 250, 12
23.2, 230, 16
36.7, 280, 12
26.5, 250, 20
20.7, 230, 18
44.5, 300, 12
31.7, 260, 14
28.2, 220, 10
42.7, 290, 14
32.2, 240, 10
40.5, 280, 12
36.2, 280, 14
28.2, 240, 16
36.7, 300, 16
29.7, 280, 20
36.7, 280, 12
36.4, 270, 10
42.2, 290, 12
35.3, 290, 18
21.9, 200, 14
18.4, 210, 16
45.8, 290, 10
37.2, 290, 14
26.1, 250, 20
34.2, 260, 12
39.5, 270, 10
30.2, 250, 14
33.7, 300, 20
31.5, 280, 20
35.3, 280, 16
27.9, 240, 16
42.5, 280, 12
38.7, 280, 10
31.2, 280, 18
23.5, 200, 10
44.2, 300, 10
42.2, 300, 12
34.7, 260, 12
15.9, 200, 20
30.2, 270, 20
30.2, 220, 10
29.8, 250, 18
39.8, 290, 16
31.5, 280, 18
36.2, 250, 10
41.7, 290, 10
29.8, 260, 20
28.6, 260, 18
18.2, 200, 18
35.5, 290, 16
26.2, 220, 12
30.2, 280, 20
28.3, 240, 14
31.7, 280, 18
38.8, 270, 10
18.2, 220, 20
28.2, 260, 18
22.3, 200, 12
37.8, 250, 10
28.7, 250, 20
31.7, 260, 14
31.8, 240, 14
30.5, 230, 14
36.7, 260, 14
30.7, 280, 20
37.5, 280, 14
36.7, 270, 16
35.9, 270, 14
31.9, 280, 20
39, 280, 14
32.5, 280, 20
33.3, 290, 20
20.3, 210, 16
38.2, 290, 14
20.6, 230, 20
30.7, 210, 10
34.6, 260, 12
34.2, 270, 14
38.5, 270, 14
22.2, 230, 20
20.1, 200, 16
39.7, 300, 14
36.7, 300, 16
24.7, 220, 18
20.2, 210, 16
38.2, 270, 12
22.7, 200, 10
30.1, 240, 14
28.7, 280, 20
39.8, 280, 14
38.2, 280, 14
34.2, 280, 16
22.7, 220, 16
30.2, 260, 16
36.7, 270, 10
33.3, 240, 10
24.8, 210, 12
