Strength,Temperature,Pressure
33.5, 270, 14
25.7, 250, 18
26.5, 230, 18
26.6, 250, 18
26.7, 260, 20
25.2, 240, 16
26.6, 220, 12
28.3, 270, 20
26.4, 260, 18
26.4, 220, 10
33.2, 260, 12
21.3, 230, 20
22.7, 220, 14
22.1, 230, 20
20.7, 220, 16
31.5, 290, 20
26.2, 220, 14
35.7, 290, 16
30.2, 240, 14
28.2, 270, 20
43.5, 300, 12
24.6, 240, 18
38.7, 280, 16
30.4, 280, 18
28.1, 260, 20
22.6, 220, 16
19.7, 210, 16
35.5, 280, 14
35, 270, 16
32.2, 290, 20
27, 240, 18
24.7, 230, 14
16.6, 210, 20
26.6, 230, 14
33.5, 280, 18
34.7, 260, 10
24.5, 200, 12
48.7, 300, 10
23.7, 200, 10
40.8, 290, 12
38.4, 290, 12
45.3, 300, 10
38.2, 300, 16
19.7, 210, 16
30.1, 270, 20
33.8, 280, 20
18.7, 220, 18
39.8, 260, 10
28.7, 230, 10
37.9, 280, 14
19.7, 220, 18
40.7, 290, 16
30.6, 250, 14
40.5, 260, 10
26.8, 260, 20
30.6, 250, 14
14.7, 210, 20
25.8, 230, 18
32.7, 250, 10
26.7, 230, 12
24.7, 260, 20
15.3, 200, 20
15.7, 210, 20
30.2, 230, 10
32.7, 270, 20
32.2, 250, 12
14.4, 200, 18
24.1, 200, 12
30.5, 220, 12
27, 220, 14
33.7, 260, 12
24.7, 220, 12
38.5, 300, 20
32.5, 240, 12
22.4, 220, 14
24.6, 210, 12
34.4, 300, 18
36.8, 280, 14
34.6, 280, 16
24.3, 250, 20
26.2, 260, 20
35.8, 250, 12
34.3, 270, 14
34.5, 240, 12
34.2, 290, 18
38.7, 270, 14
30.2, 250, 16
28.1, 210, 10
19.3, 200, 16
34.7, 280, 14
20.1, 210, 18
20.2, 200, 14
34.8, 250, 10
33.5, 260, 14
40.5, 300, 16
32.2, 270, 16
17.2, 220, 20
19.5, 230, 20
20.2, 220, 20
26.5, 200, 12
29.7, 250, 14
36.5, 290, 18
22.5, 230, 20
38.1, 290, 16
41.5, 280, 10
18.7, 220, 20
17.7, 200, 16
35.8, 240, 10
39.7, 290, 12
16.2, 210, 20
27.7, 260, 18
21.2, 230, 18
23.3, 210, 14
34.3, 300, 20
30.6, 280, 20
38.8, 290, 14
31.7, 290, 20
34.5, 270, 16
34.5, 260, 14
20.5, 200, 18
36.6, 290, 16
31.2, 250, 12
24.7, 250, 18
34.1, 240, 10
20.7, 210, 14
37.9, 260, 10
29.9, 230, 12
35.7, 280, 14
44.2, 300, 10
42.3, 290, 10
18.7, 200, 14
32.1, 250, 14
35.8, 280, 18
40.6, 290, 12
28.6, 240, 14
40.7, 300, 18
30.5, 240, 16
28.5, 260, 20
38.5, 260, 12
33.9, 290, 20
32.5, 270, 18
32.7, 260, 12
20.2, 220, 18
35, 250, 12
39.3, 290, 14
26.6, 230, 14
29.2, 230, 10
28.5, 250, 18
32.5, 230, 12
45.5, 300, 10
42.6, 300, 12
24.7, 230, 16
35.5, 270, 12
30.5, 260, 18
35.9, 280, 16
35, 290, 20
24.6, 230, 16
36.5, 250, 12
34.1, 280, 18
30.3, 280, 20
26.5, 240, 20
16.3, 200, 18
20.7, 220, 16
29.8, 210, 10
17.7, 200, 16
38.5, 300, 18
45.9, 300, 10
34.1, 250, 12
25.7, 230, 14
42.1, 290, 12
34.2, 290, 18
25.7, 240, 16
25.5, 230, 14
21.2, 220, 16
32.5, 250, 16
25.7, 210, 10
38.6, 290, 14
19.9, 210, 18
28.5, 220, 12
33.8, 250, 14
28.6, 250, 16
28.5, 250, 20
37.7, 290, 14
39.9, 290, 14
32.7, 260, 18
44.7, 300, 10
19.7, 200, 14
34.5, 290, 20
27, 230, 16
34.7, 270, 12
29.9, 220, 10
30.2, 260, 16
22.7, 200, 16
28.2, 220, 12
37.8, 270, 14
25.9, 220, 14
25.2, 230, 14
33.2, 250, 10
34.8, 270, 14
34.5, 240, 10
24.6, 220, 14
22.2, 220, 16
18.6, 220, 20
28.7, 230, 16
35.9, 250, 10
28.7, 230, 12
20.3, 200, 14
36.2, 290, 16
28.6, 220, 10
30.2, 280, 20
34.2, 260, 12
22.2, 230, 18
26.1, 240, 18
22.7, 250, 20
29.3, 230, 12
33.9, 260, 14
16.2, 210, 20
45, 300, 12
36.8, 260, 10
32.7, 250, 10
42.7, 290, 10
28.7, 250, 14
23, 200, 14
40.8, 300, 14
23.3, 240, 20
27.3, 220, 12
31.3, 280, 20
32.2, 280, 18
30.7, 260, 20
32.2, 250, 14
30.2, 230, 10
37.9, 300, 18
31.3, 240, 12
20.7, 220, 18
39.5, 280, 10
43, 290, 12
15.2, 210, 20
18.2, 210, 18
27.7, 220, 10
25.5, 260, 20
16.7, 210, 18
36.5, 270, 14
33.5, 270, 16
35.2, 300, 18
38.7, 260, 12
30.7, 280, 18
41.5, 300, 12
27.3, 210, 10
44.1, 290, 10
34.7, 280, 16
24.2, 210, 12
29.3, 270, 20
16.2, 200, 18
26.2, 250, 20
27, 250, 20
15.5, 200, 20
26.2, 250, 18
30.8, 280, 20
33.2, 300, 20
27.5, 220, 12
25.5, 240, 16
42.7, 270, 10
22.6, 200, 12
22.3, 220, 16
32.2, 240, 12
24.6, 250, 20
28.2, 270, 20
43.8, 290, 12
35.7, 290, 16
44.7, 290, 12
18.6, 200, 16
40.2, 280, 10
35.5, 280, 16
14.6, 200, 20
32.2, 280, 18
30.7, 250, 12
19.9, 200, 16
41.8, 280, 12
19.5, 210, 16
21, 210, 18
30.5, 210, 10
16.7, 210, 18
13.2, 200, 20
44.2, 290, 10
20.2, 200, 14
26.2, 230, 14
18.8, 200, 16
21.7, 200, 12
29.5, 230, 10
28.5, 230, 16
38.6, 270, 10
18.6, 210, 18
36.2, 300, 18
38.4, 280, 10
22.2, 220, 18
34.6, 250, 10
25.5, 250, 20
23.9, 200, 12
32.6, 260, 14
35.9, 300, 20
37.5, 290, 14
42.2, 290, 10
22.1, 220, 18
30.1, 260, 18
22.6, 230, 18
15.5, 200, 18
34.5, 250, 12
22.7, 250, 20
30.8, 250, 14
18.7, 200, 20
30.1, 230, 12
40.2, 280, 10
40.6, 280, 10
24.5, 220, 16
34.7, 290, 16
22.2, 240, 20
45.8, 300, 12
31.5, 250, 14
33.5, 300, 20
20.6, 210, 16
32.5, 250, 14
38.8, 300, 16
44.3, 300, 10
40.3, 300, 14
26.7, 260, 18
21.7, 220, 16
30.5, 260, 20
32.3, 250, 12
28.7, 220, 10
24.6, 240, 18
